prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
1	366	536795	536795	46356518	46356518	const	270	-6404423.95639	-0.138155845881	3427
1	365	536795	383528	46356518	29727117	lin	600	10115818.3167	0.340289248928	3427
1	324	536795	85831	46356518	4410737	mcpc	1	30956690.514	7.01848478248	3427
1	354	536795	287805	46356518	17979287	ortb	1310	20662902.3209	1.14926149857	3427
1	274	536795	439100	46356518	33850340	rand	480	-3940848.83074	-0.11641977099	3427
16	26	32984	32984	2897282	2897293	const	270	-59092.1007269	-0.0203961456579	3427
16	315	536795	55415	2897282	2709021	lin	50	31675977.972	11.6927768267	3427
16	173	295995	56715	2897282	2897285	mcpc	1	15987329.7529	5.51833357594	3427
16	314	536795	71037	2897282	2719239	ortb	200	31556601.2451	11.6049384571	3427
16	26	49456	39221	2897282	2897358	rand	420	-59054.1007269	-0.0203832969797	3427
2	196	520905	398379	23178259	23178298	const	110	-1783127.52856	-0.076931107902	3427
2	362	536795	320235	23178259	23092890	lin	390	16422569.136	0.711152616066	3427
2	324	536795	85831	23178259	4410737	mcpc	1	30956690.514	7.01848478248	3427
2	354	536795	287805	23178259	17979287	ortb	1310	20662902.3209	1.14926149857	3427
2	200	473982	335678	23178259	23178317	rand	300	-1346494.62098	-0.0580930485221	3427
32	15	32743	25527	1448641	1448685	const	120	188766.903427	0.130308628404	3427
32	301	536795	27130	1448641	1435924	lin	25	31420852.7954	21.8819748089	3427
32	88	138071	28560	1448641	1448785	mcpc	1	8157335.96677	5.63106155792	3427
32	292	536795	31313	1448641	1160849	ortb	80	30713499.2534	26.4577901634	3427
32	17	27301	20372	1448641	1448650	rand	360	407125.357217	0.281052703051	3427
4	101	358927	227964	11589129	11589197	const	85	-564088.583593	-0.0486739790073	3427
4	348	536795	183833	11589129	11255733	lin	180	26731503.9595	2.37492342431	3427
4	324	536795	85831	11589129	4410737	mcpc	1	30956690.514	7.01848478248	3427
4	344	536795	200661	11589129	10840470	ortb	740	26710132.0519	2.46392749133	3427
4	102	306754	190846	11589129	11589151	rand	230	-454882.856698	-0.0392510131481	3427
64	9	11111	9991	724320	724326	const	200	258162.542056	0.356447136903	3427
64	279	536795	10722	724320	637148	lin	12	29818136.8037	46.799388531	3427
64	36	72148	14571	724320	724356	mcpc	1	3205413.16822	4.42552636021	3427
64	278	536795	17641	724320	697159	ortb	50	29648967.0768	42.5282712794	3427
64	10	37870	16275	724320	724343	rand	130	367332.268951	0.507186376278	3427
8	48	194787	120137	5794564	5794600	const	85	-554912.109034	-0.0957648011607	3427
8	332	536795	99638	5794564	5282264	lin	95	30958433.3292	5.86082659427	3427
8	324	536795	85831	5794564	4410737	mcpc	1	30956690.514	7.01848478248	3427
8	322	536795	108417	5794564	4621045	ortb	350	30528065.0602	6.60631200523	3427
8	49	167423	99426	5794564	5794623	rand	210	-445750.382139	-0.0769260899489	3427
