prop	clks	bids	imps	budget	spend	algo	para	revenue	roi	campaign
1	442	545421	544736	45715525	45510025	const	300	1131367.96146	0.0248597525812	3386
1	443	545421	535121	45715525	44315954	lin	750	2430962.47495	0.0548552441171	3386
1	248	545421	187590	45715525	10506192	mcpc	1	15663639.3449	1.49089597305	3386
1	408	545421	468728	45715525	32939802	ortb	1340	10113791.5029	0.307038624667	3386
1	347	545421	451059	45715525	33281397	rand	490	3335262.18015	0.100214007848	3386
16	37	70805	54127	2857220	2857317	const	110	1047149.99904	0.366492604362	3386
16	136	533220	71407	2857220	2857253	lin	35	11494011.8343	4.02284339707	3386
16	61	143886	53123	2857220	2857331	mcpc	1	3579804.32274	1.25293715117	3386
16	130	540334	91110	2857220	2857263	ortb	140	10860867.7534	3.80124232362	3386
16	37	136570	63161	2857220	2857229	rand	140	1047210.99904	0.366521778815	3386
2	252	378773	339779	22857762	22857837	const	190	3734168.39884	0.163365478023	3386
2	356	544845	340621	22857762	22857767	lin	140	14708673.8015	0.643488878234	3386
2	248	545421	187590	22857762	10506192	mcpc	1	15663639.3449	1.49089597305	3386
2	346	541505	372375	22857762	22857783	ortb	680	13653382.6667	0.597319546968	3386
2	253	536887	368261	22857762	22857898	rand	270	3839721.91233	0.167983540635	3386
32	21	27964	23970	1428610	1428621	const	170	787459.783237	0.551236290657	3386
32	101	545421	38269	1428610	1201651	lin	20	9456223.86224	7.86935962458	3386
32	35	74930	27844	1428610	1428640	mcpc	1	2264762.97206	1.58534676322	3386
32	96	545421	54278	1428610	1258190	ortb	80	8872067.2948	7.05145271763	3386
32	21	42549	26630	1428610	1428630	rand	220	787420.783237	0.551193941953	3386
4	133	416893	253538	11428881	11428901	const	75	2605796.29383	0.228001997215	3386
4	253	545421	196765	11428881	11178954	lin	80	15518494.9123	1.38818845773	3386
4	248	545421	187590	11428881	10506192	mcpc	1	15663639.3449	1.49089597305	3386
4	252	545421	230442	11428881	11352836	ortb	350	15239089.3988	1.34231564684	3386
4	130	394583	219876	11428881	11429007	rand	180	2289210.75337	0.200301128685	3386
64	12	159338	38240	714305	714317	const	35	551985.16185	0.772767016871	3386
64	80	545421	23021	714305	610314	lin	14	7831567.079	12.8320292161	3386
64	20	33298	13871	714305	714358	mcpc	1	1396192.26975	1.9546902883	3386
64	69	545421	33781	714305	609780	ortb	50	6671342.43064	10.9405727158	3386
64	14	27174	15379	714305	714309	rand	180	763090.188825	1.06839613746	3386
8	61	229516	134219	5714440	5714470	const	75	722534.322736	0.126440977659	3386
8	181	516204	116088	5714440	5714464	lin	55	13385349.9412	2.34238693247	3386
8	121	285838	105023	5714440	5714530	mcpc	1	7054085.13198	1.23447045321	3386
8	171	511946	142016	5714440	5714447	ortb	230	12330091.8064	2.15771196149	3386
8	62	295811	131121	5714440	5714506	rand	130	828040.836224	0.144903817174	3386
